InstanteActual,VolumenDescargas,VolumenAlmacenamiento,VolumenVentas1,VolumenVentas2,VolumenFugas,ProxVolumenDescargas,ProxVolumenVentas1,ProxVolumenVentas2,VolumenAcumuladoDescargas,VolumenAcumuladoVentas1,VolumenAcumuladoVentas2,VolumenAcumuladoFugas,InstanteProxDispDescargas,InstanteProxDispVentas1,InstanteProxDispVentas2,RecargasTotalesDescargas,RecargasTotalesVentas1,RecargasTotalesVentas2,AlturaFuga,CaudalFuga
2024-06-30 00:11:14,79.0,7335.0,6.0,972.0,98.0,95.0,319.0,454.0,223.0,289.0,760.0,905.0,126.0,23.0,6.0,13.0,70.0,38.0,94.0,220.0
2024-06-30 00:11:21,47.0,4607.0,773.0,322.0,305.0,176.0,53.0,224.0,630.0,366.0,400.0,444.0,370.0,85.0,16.0,98.0,55.0,33.0,57.0,576.0
2024-06-30 00:16:40,7.0,5249.0,73.0,658.0,930.0,272.0,544.0,878.0,923.0,709.0,440.0,165.0,492.0,42.0,87.0,3.0,27.0,29.0,40.0,612.0
2024-06-30 00:16:46,13.0,4530.0,6.0,962.0,942.0,365.0,82.0,852.0,767.0,821.0,695.0,712.0,671.0,1.0,90.0,31.0,38.0,57.0,16.0,790.0
2024-06-30 00:16:53,8.0,9997.0,651.0,849.0,203.0,731.0,531.0,14.0,419.0,775.0,9.0,180.0,929.0,23.0,54.0,60.0,37.0,45.0,17.0,525.0
2024-06-30 00:17:00,74.0,3549.0,542.0,249.0,771.0,310.0,879.0,983.0,970.0,40.0,723.0,650.0,971.0,29.0,18.0,46.0,99.0,30.0,21.0,776.0
2024-06-30 00:17:07,36.0,6728.0,125.0,384.0,167.0,949.0,476.0,46.0,576.0,666.0,467.0,520.0,384.0,91.0,10.0,58.0,11.0,44.0,18.0,718.0
2024-06-30 00:17:13,79.0,9317.0,516.0,48.0,762.0,29.0,39.0,708.0,903.0,657.0,761.0,752.0,466.0,21.0,57.0,96.0,55.0,30.0,94.0,555.0
2024-06-30 00:17:19,69.0,9096.0,503.0,421.0,675.0,518.0,300.0,489.0,262.0,54.0,263.0,643.0,889.0,50.0,35.0,15.0,64.0,94.0,63.0,758.0
2024-06-30 00:17:27,8.0,4981.0,552.0,288.0,163.0,359.0,19.0,379.0,356.0,461.0,487.0,353.0,899.0,88.0,44.0,80.0,66.0,83.0,74.0,236.0
2024-06-30 00:17:33,46.0,5869.0,670.0,394.0,610.0,392.0,64.0,524.0,361.0,519.0,620.0,562.0,661.0,25.0,34.0,49.0,90.0,22.0,60.0,93.0
2024-06-30 00:17:39,31.0,4174.0,463.0,877.0,324.0,784.0,833.0,750.0,527.0,999.0,429.0,609.0,144.0,64.0,51.0,12.0,79.0,34.0,7.0,583.0
2024-06-30 00:17:45,87.0,5363.0,37.0,766.0,534.0,83.0,675.0,184.0,555.0,156.0,399.0,664.0,93.0,86.0,33.0,24.0,47.0,94.0,30.0,767.0
2024-06-30 00:17:51,7.0,2537.0,203.0,421.0,447.0,34.0,949.0,416.0,759.0,938.0,550.0,183.0,186.0,96.0,85.0,24.0,22.0,63.0,81.0,12.0
2024-06-30 00:17:57,19.0,4010.0,911.0,15.0,978.0,542.0,45.0,270.0,562.0,8.0,983.0,99.0,709.0,13.0,50.0,51.0,65.0,2.0,17.0,953.0
2024-06-30 00:18:03,49.0,1361.0,649.0,231.0,796.0,123.0,696.0,444.0,250.0,238.0,431.0,359.0,935.0,65.0,1.0,87.0,37.0,48.0,20.0,424.0
2024-06-30 00:18:10,49.0,5134.0,425.0,871.0,891.0,650.0,217.0,10.0,654.0,525.0,901.0,494.0,392.0,34.0,70.0,46.0,87.0,21.0,65.0,589.0
2024-06-30 00:18:19,20.0,2962.0,317.0,135.0,752.0,894.0,235.0,610.0,831.0,363.0,851.0,847.0,451.0,10.0,49.0,47.0,34.0,48.0,23.0,88.0
2024-06-30 00:18:25,86.0,7030.0,52.0,26.0,379.0,710.0,432.0,951.0,772.0,301.0,187.0,879.0,608.0,37.0,36.0,2.0,78.0,23.0,88.0,574.0
2024-06-30 00:18:32,99.0,5305.0,951.0,377.0,6.0,790.0,595.0,396.0,661.0,231.0,725.0,606.0,379.0,70.0,24.0,57.0,22.0,53.0,73.0,280.0
2024-06-30 00:18:38,21.0,5384.0,934.0,847.0,328.0,488.0,785.0,308.0,158.0,774.0,923.0,261.0,872.0,24.0,35.0,89.0,56.0,44.0,98.0,747.0
2024-06-30 00:18:45,15.0,5229.0,513.0,143.0,480.0,509.0,305.0,184.0,49.0,511.0,209.0,383.0,848.0,85.0,7.0,60.0,80.0,89.0,63.0,733.0
2024-06-30 00:18:53,57.0,7800.0,356.0,89.0,801.0,499.0,10.0,674.0,295.0,528.0,691.0,647.0,581.0,93.0,20.0,68.0,15.0,76.0,24.0,53.0
2024-06-30 00:19:01,4.0,1167.0,757.0,122.0,46.0,331.0,703.0,120.0,27.0,464.0,951.0,205.0,729.0,42.0,16.0,88.0,50.0,85.0,2.0,673.0
2024-06-30 00:19:07,1.0,9665.0,999.0,159.0,457.0,390.0,43.0,882.0,482.0,903.0,239.0,184.0,261.0,4.0,32.0,27.0,84.0,24.0,56.0,414.0
2024-06-30 00:19:13,17.0,4993.0,611.0,441.0,731.0,707.0,268.0,763.0,801.0,922.0,737.0,258.0,978.0,46.0,94.0,63.0,83.0,10.0,84.0,773.0
2024-06-30 00:19:19,94.0,4309.0,682.0,396.0,9.0,296.0,644.0,735.0,765.0,658.0,3.0,903.0,404.0,46.0,55.0,50.0,75.0,27.0,63.0,152.0
2024-06-30 00:19:27,34.0,8275.0,992.0,432.0,594.0,769.0,43.0,947.0,427.0,795.0,964.0,793.0,166.0,94.0,84.0,58.0,21.0,66.0,70.0,742.0
2024-06-30 00:19:33,28.0,1994.0,563.0,327.0,747.0,198.0,931.0,190.0,890.0,330.0,723.0,617.0,129.0,7.0,83.0,39.0,74.0,33.0,46.0,489.0
2024-06-30 00:19:40,49.0,1822.0,120.0,454.0,822.0,846.0,459.0,196.0,128.0,752.0,216.0,657.0,876.0,99.0,93.0,3.0,36.0,63.0,35.0,515.0
2024-06-30 00:19:47,4.0,4091.0,844.0,381.0,963.0,198.0,592.0,490.0,720.0,954.0,429.0,740.0,181.0,60.0,55.0,82.0,79.0,65.0,95.0,415.0
2024-06-30 00:19:53,41.0,3973.0,815.0,744.0,746.0,3.0,283.0,540.0,133.0,253.0,886.0,852.0,812.0,68.0,82.0,87.0,68.0,62.0,4.0,596.0
2024-06-30 00:19:59,42.0,8041.0,678.0,603.0,981.0,362.0,219.0,808.0,711.0,776.0,182.0,367.0,423.0,68.0,20.0,51.0,20.0,49.0,62.0,624.0
2024-06-30 00:20:05,15.0,1264.0,391.0,249.0,540.0,887.0,23.0,44.0,538.0,121.0,67.0,352.0,752.0,12.0,56.0,62.0,51.0,84.0,0.0,616.0
2024-06-30 00:20:11,57.0,4871.0,413.0,982.0,877.0,685.0,350.0,558.0,870.0,854.0,409.0,605.0,210.0,74.0,91.0,58.0,66.0,77.0,83.0,571.0
2024-06-30 00:20:19,60.0,8281.0,875.0,912.0,863.0,551.0,228.0,48.0,887.0,257.0,789.0,90.0,605.0,89.0,5.0,89.0,85.0,67.0,36.0,105.0
2024-06-30 00:20:32,7.0,5249.0,73.0,658.0,930.0,272.0,544.0,878.0,923.0,709.0,440.0,165.0,492.0,42.0,87.0,3.0,27.0,29.0,40.0,612.0
2024-06-30 00:20:38,79.0,7335.0,6.0,972.0,98.0,95.0,319.0,454.0,223.0,289.0,760.0,905.0,126.0,23.0,6.0,13.0,70.0,38.0,94.0,220.0
2024-06-30 00:20:44,56.0,1564.0,597.0,648.0,704.0,550.0,150.0,976.0,412.0,554.0,797.0,504.0,381.0,48.0,65.0,78.0,99.0,9.0,29.0,553.0
2024-06-30 00:20:51,74.0,3549.0,542.0,249.0,771.0,310.0,879.0,983.0,970.0,40.0,723.0,650.0,971.0,29.0,18.0,46.0,99.0,30.0,21.0,776.0
2024-06-30 00:23:22,7.0,5249.0,73.0,658.0,930.0,272.0,544.0,878.0,923.0,709.0,440.0,165.0,492.0,42.0,87.0,3.0,27.0,29.0,40.0,612.0
2024-06-30 00:23:28,13.0,4530.0,6.0,962.0,942.0,365.0,82.0,852.0,767.0,821.0,695.0,712.0,671.0,1.0,90.0,31.0,38.0,57.0,16.0,790.0
2024-06-30 00:23:34,8.0,9997.0,651.0,849.0,203.0,731.0,531.0,14.0,419.0,775.0,9.0,180.0,929.0,23.0,54.0,60.0,37.0,45.0,17.0,525.0
2024-06-30 00:43:46,7.0,5249.0,73.0,658.0,930.0,272.0,544.0,878.0,923.0,709.0,440.0,165.0,492.0,42.0,87.0,3.0,27.0,29.0,40.0,612.0
2024-06-30 00:43:52,13.0,4530.0,6.0,962.0,942.0,365.0,82.0,852.0,767.0,821.0,695.0,712.0,671.0,1.0,90.0,31.0,38.0,57.0,16.0,790.0
2024-06-30 00:45:16,7.0,5249.0,73.0,658.0,930.0,272.0,544.0,878.0,923.0,709.0,440.0,165.0,492.0,42.0,87.0,3.0,27.0,29.0,40.0,612.0
2024-06-30 00:45:22,13.0,4530.0,6.0,962.0,942.0,365.0,82.0,852.0,767.0,821.0,695.0,712.0,671.0,1.0,90.0,31.0,38.0,57.0,16.0,790.0
2024-06-30 00:45:29,56.0,1564.0,597.0,648.0,704.0,550.0,150.0,976.0,412.0,554.0,797.0,504.0,381.0,48.0,65.0,78.0,99.0,9.0,29.0,553.0
2024-06-30 19:17:55,17.0,4195.0,105.0,404.0,451.0,298.0,188.0,123.0,505.0,882.0,752.0,566.0,716.0,37.0,38.0,44.0,1.0,97.0,71.0,828.0
2024-06-30 19:18:02,53.0,547.0,825.0,210.0,662.0,211.0,808.0,377.0,761.0,625.0,335.0,868.0,995.0,76.0,67.0,39.0,74.0,31.0,56.0,301.0
2024-06-30 19:31:28,7.0,5249.0,73.0,658.0,930.0,272.0,544.0,878.0,923.0,709.0,440.0,165.0,492.0,42.0,87.0,3.0,27.0,29.0,40.0,612.0
2024-06-30 19:52:37,7.0,5249.0,73.0,658.0,930.0,272.0,544.0,878.0,923.0,709.0,440.0,165.0,492.0,42.0,87.0,3.0,27.0,29.0,40.0,612.0
2024-06-30 19:52:43,13.0,4530.0,6.0,962.0,942.0,365.0,82.0,852.0,767.0,821.0,695.0,712.0,671.0,1.0,90.0,31.0,38.0,57.0,16.0,790.0
2024-06-30 19:52:43,13.0,4530.0,6.0,962.0,942.0,365.0,82.0,852.0,767.0,821.0,695.0,712.0,671.0,1.0,90.0,31.0,38.0,57.0,16.0,790.0
2024-06-30 19:52:49,8.0,9997.0,651.0,849.0,203.0,731.0,531.0,14.0,419.0,775.0,9.0,180.0,929.0,23.0,54.0,60.0,37.0,45.0,17.0,525.0
2024-06-30 19:52:56,24.0,5132.0,973.0,603.0,897.0,920.0,950.0,231.0,480.0,203.0,900.0,520.0,533.0,58.0,3.0,76.0,50.0,34.0,80.0,879.0
2024-06-30 19:53:02,28.0,6671.0,661.0,45.0,120.0,240.0,158.0,453.0,627.0,350.0,711.0,563.0,594.0,33.0,27.0,27.0,95.0,31.0,42.0,516.0
2024-06-30 19:53:08,12.0,5684.0,989.0,784.0,734.0,667.0,519.0,615.0,45.0,976.0,661.0,825.0,819.0,31.0,3.0,98.0,98.0,39.0,4.0,503.0
2024-06-30 19:53:14,61.0,2581.0,165.0,802.0,732.0,332.0,854.0,759.0,847.0,377.0,462.0,10.0,819.0,50.0,77.0,41.0,36.0,20.0,99.0,112.0
2024-06-30 19:53:20,43.0,8555.0,385.0,534.0,275.0,321.0,151.0,226.0,251.0,459.0,783.0,714.0,437.0,79.0,98.0,0.0,37.0,85.0,78.0,284.0
2024-06-30 19:53:26,70.0,4587.0,297.0,89.0,646.0,90.0,111.0,612.0,463.0,112.0,781.0,951.0,230.0,21.0,13.0,28.0,50.0,0.0,59.0,754.0
2024-06-30 19:53:32,16.0,3347.0,946.0,851.0,672.0,811.0,523.0,736.0,605.0,607.0,633.0,866.0,553.0,12.0,25.0,40.0,53.0,57.0,33.0,295.0
2024-06-30 19:53:38,4.0,2951.0,92.0,445.0,370.0,474.0,962.0,176.0,317.0,826.0,413.0,344.0,571.0,79.0,35.0,29.0,88.0,48.0,78.0,617.0
2024-06-30 19:55:43,7.0,5249.0,73.0,658.0,930.0,272.0,544.0,878.0,923.0,709.0,440.0,165.0,492.0,42.0,87.0,3.0,27.0,29.0,40.0,612.0
2024-06-30 19:55:49,13.0,4530.0,6.0,962.0,942.0,365.0,82.0,852.0,767.0,821.0,695.0,712.0,671.0,1.0,90.0,31.0,38.0,57.0,16.0,790.0
2024-06-30 19:55:55,60.0,94.0,984.0,755.0,789.0,407.0,15.0,193.0,769.0,680.0,455.0,855.0,506.0,63.0,2.0,76.0,8.0,49.0,31.0,844.0
2024-06-30 19:56:01,85.0,3729.0,15.0,563.0,102.0,917.0,643.0,419.0,967.0,747.0,269.0,395.0,303.0,73.0,3.0,48.0,85.0,58.0,59.0,406.0
2024-06-30 19:56:07,29.0,2253.0,189.0,166.0,356.0,304.0,860.0,898.0,592.0,720.0,116.0,580.0,867.0,52.0,39.0,98.0,1.0,11.0,16.0,891.0
2024-06-30 19:56:13,89.0,4958.0,33.0,800.0,89.0,670.0,217.0,846.0,38.0,543.0,338.0,936.0,321.0,19.0,96.0,47.0,88.0,59.0,87.0,35.0
2024-06-30 19:56:19,83.0,5176.0,489.0,91.0,434.0,711.0,904.0,26.0,891.0,790.0,522.0,364.0,890.0,84.0,13.0,41.0,27.0,79.0,84.0,537.0
2024-07-01 19:15:36,7.0,5249.0,73.0,658.0,930.0,272.0,544.0,878.0,923.0,709.0,440.0,165.0,492.0,42.0,87.0,3.0,27.0,29.0,40.0,612.0
2024-07-01 19:15:42,13.0,4530.0,6.0,962.0,942.0,365.0,82.0,852.0,767.0,821.0,695.0,712.0,671.0,1.0,90.0,31.0,38.0,57.0,16.0,790.0
2024-07-01 19:15:48,8.0,9997.0,651.0,849.0,203.0,731.0,531.0,14.0,419.0,775.0,9.0,180.0,929.0,23.0,54.0,60.0,37.0,45.0,17.0,525.0
2024-07-01 19:49:34,7.0,5249.0,73.0,658.0,930.0,272.0,544.0,878.0,923.0,709.0,440.0,165.0,492.0,42.0,87.0,3.0,27.0,29.0,40.0,612.0
2024-07-01 19:49:41,79.0,7335.0,6.0,972.0,98.0,95.0,319.0,454.0,223.0,289.0,760.0,905.0,126.0,23.0,6.0,13.0,70.0,38.0,94.0,220.0
2024-07-01 19:49:47,56.0,1564.0,597.0,648.0,704.0,550.0,150.0,976.0,412.0,554.0,797.0,504.0,381.0,48.0,65.0,78.0,99.0,9.0,29.0,553.0
2024-07-01 19:49:53,74.0,3549.0,542.0,249.0,771.0,310.0,879.0,983.0,970.0,40.0,723.0,650.0,971.0,29.0,18.0,46.0,99.0,30.0,21.0,776.0
2024-07-01 19:49:59,15.0,6924.0,601.0,97.0,661.0,103.0,324.0,108.0,936.0,281.0,15.0,710.0,216.0,5.0,73.0,81.0,20.0,91.0,69.0,865.0
2024-07-01 19:50:05,65.0,7391.0,107.0,924.0,365.0,121.0,454.0,106.0,450.0,703.0,832.0,32.0,141.0,54.0,77.0,17.0,0.0,89.0,65.0,747.0
2024-07-01 19:50:12,56.0,4390.0,152.0,48.0,14.0,44.0,918.0,150.0,101.0,295.0,821.0,731.0,501.0,45.0,61.0,57.0,10.0,28.0,5.0,173.0
2024-07-01 19:50:18,15.0,5960.0,67.0,140.0,707.0,566.0,728.0,562.0,363.0,969.0,890.0,623.0,278.0,13.0,61.0,10.0,40.0,78.0,0.0,394.0
2024-07-01 19:50:24,29.0,7144.0,175.0,870.0,416.0,599.0,80.0,618.0,288.0,452.0,128.0,800.0,662.0,40.0,49.0,85.0,83.0,15.0,59.0,878.0
2024-07-01 19:50:30,59.0,262.0,145.0,716.0,127.0,172.0,748.0,0.0,370.0,398.0,292.0,545.0,928.0,0.0,43.0,92.0,63.0,83.0,72.0,801.0
2024-07-01 19:50:36,48.0,9961.0,651.0,18.0,977.0,946.0,661.0,478.0,228.0,63.0,235.0,506.0,308.0,68.0,79.0,19.0,23.0,77.0,92.0,953.0
2024-07-01 19:50:42,0.0,8314.0,896.0,999.0,645.0,533.0,962.0,539.0,754.0,821.0,286.0,536.0,10.0,62.0,73.0,93.0,35.0,88.0,71.0,838.0
2024-07-01 19:50:48,18.0,7160.0,729.0,955.0,82.0,364.0,32.0,313.0,195.0,328.0,504.0,855.0,711.0,81.0,10.0,4.0,51.0,16.0,61.0,864.0
2024-07-01 19:50:55,26.0,3526.0,712.0,595.0,621.0,177.0,341.0,158.0,54.0,20.0,197.0,727.0,451.0,62.0,32.0,37.0,4.0,57.0,5.0,907.0
2024-07-01 19:51:01,50.0,3013.0,850.0,492.0,948.0,83.0,981.0,847.0,208.0,706.0,178.0,306.0,267.0,14.0,10.0,70.0,58.0,17.0,46.0,304.0
2024-07-01 19:51:07,30.0,1295.0,258.0,419.0,212.0,443.0,312.0,706.0,628.0,593.0,926.0,226.0,726.0,33.0,81.0,96.0,92.0,61.0,9.0,377.0
2024-07-01 19:51:13,32.0,8959.0,256.0,345.0,702.0,723.0,889.0,819.0,494.0,886.0,107.0,392.0,500.0,46.0,1.0,65.0,44.0,56.0,74.0,917.0
2024-07-01 19:51:19,86.0,7030.0,52.0,26.0,379.0,710.0,432.0,951.0,772.0,301.0,187.0,879.0,608.0,37.0,36.0,2.0,78.0,23.0,88.0,574.0
2024-07-01 19:51:25,6.0,5881.0,43.0,272.0,355.0,638.0,975.0,620.0,375.0,986.0,197.0,305.0,537.0,95.0,83.0,95.0,76.0,83.0,82.0,827.0
2024-07-01 19:51:31,98.0,9777.0,4.0,382.0,556.0,175.0,133.0,210.0,292.0,670.0,270.0,953.0,353.0,28.0,28.0,73.0,82.0,71.0,0.0,405.0
2024-07-01 19:51:37,61.0,2832.0,272.0,219.0,194.0,803.0,254.0,131.0,516.0,304.0,683.0,474.0,113.0,11.0,44.0,8.0,59.0,5.0,72.0,792.0
2024-07-01 19:51:43,18.0,7218.0,805.0,815.0,837.0,315.0,129.0,24.0,915.0,966.0,472.0,496.0,160.0,78.0,79.0,71.0,24.0,45.0,80.0,577.0
2024-07-01 19:51:49,11.0,1684.0,655.0,975.0,159.0,539.0,649.0,899.0,172.0,974.0,990.0,466.0,742.0,22.0,21.0,60.0,34.0,47.0,93.0,417.0
2024-07-01 19:51:55,97.0,115.0,252.0,388.0,386.0,528.0,717.0,622.0,723.0,326.0,196.0,661.0,79.0,84.0,42.0,90.0,97.0,28.0,11.0,343.0
2024-07-01 19:52:01,48.0,9608.0,904.0,987.0,835.0,732.0,136.0,757.0,525.0,564.0,954.0,328.0,233.0,23.0,30.0,44.0,70.0,32.0,4.0,285.0
2024-07-01 19:52:07,32.0,8769.0,307.0,762.0,484.0,148.0,135.0,630.0,698.0,594.0,626.0,50.0,134.0,15.0,68.0,91.0,99.0,71.0,69.0,601.0
2024-07-01 19:52:13,84.0,7987.0,116.0,277.0,251.0,290.0,683.0,220.0,999.0,790.0,242.0,311.0,836.0,62.0,60.0,69.0,14.0,78.0,66.0,957.0
2024-07-01 19:52:19,68.0,2961.0,889.0,501.0,183.0,993.0,420.0,613.0,42.0,26.0,250.0,956.0,432.0,6.0,92.0,64.0,2.0,6.0,90.0,719.0
2024-07-01 19:52:25,86.0,129.0,283.0,587.0,587.0,731.0,659.0,585.0,199.0,719.0,571.0,269.0,703.0,53.0,96.0,41.0,98.0,48.0,37.0,226.0
2024-07-01 19:52:31,65.0,916.0,443.0,779.0,947.0,648.0,177.0,148.0,580.0,560.0,138.0,992.0,761.0,17.0,76.0,88.0,42.0,45.0,4.0,779.0
2024-07-01 19:52:37,45.0,9520.0,597.0,826.0,912.0,14.0,833.0,501.0,177.0,983.0,535.0,945.0,366.0,70.0,69.0,47.0,84.0,81.0,32.0,641.0
2024-07-01 19:52:43,17.0,9936.0,436.0,309.0,539.0,290.0,814.0,4.0,868.0,56.0,284.0,17.0,275.0,65.0,12.0,10.0,59.0,88.0,48.0,633.0
2024-07-01 19:52:50,15.0,4446.0,599.0,677.0,312.0,480.0,636.0,124.0,910.0,587.0,254.0,935.0,23.0,31.0,73.0,77.0,57.0,94.0,16.0,665.0
2024-07-01 19:52:56,36.0,3431.0,366.0,492.0,726.0,920.0,677.0,404.0,985.0,307.0,505.0,412.0,806.0,71.0,18.0,94.0,81.0,69.0,33.0,71.0
2024-07-01 19:53:02,25.0,387.0,828.0,880.0,7.0,955.0,772.0,7.0,623.0,997.0,62.0,712.0,14.0,38.0,96.0,19.0,47.0,63.0,74.0,558.0
2024-07-01 19:53:08,69.0,1033.0,935.0,823.0,276.0,161.0,418.0,315.0,649.0,779.0,932.0,802.0,588.0,35.0,56.0,5.0,22.0,34.0,46.0,404.0
2024-07-01 19:53:14,0.0,3890.0,234.0,594.0,600.0,874.0,588.0,286.0,25.0,353.0,391.0,868.0,275.0,20.0,81.0,99.0,85.0,95.0,19.0,851.0
2024-07-01 19:53:20,41.0,7995.0,615.0,97.0,974.0,851.0,974.0,446.0,217.0,379.0,266.0,79.0,1.0,97.0,52.0,37.0,50.0,70.0,31.0,14.0
2024-07-01 19:53:26,71.0,8108.0,678.0,273.0,705.0,615.0,642.0,722.0,190.0,918.0,284.0,250.0,944.0,69.0,10.0,97.0,2.0,53.0,60.0,342.0
2024-07-01 19:53:32,11.0,2893.0,679.0,677.0,439.0,319.0,749.0,740.0,875.0,655.0,833.0,334.0,165.0,82.0,48.0,21.0,7.0,67.0,3.0,244.0
2024-07-01 19:53:38,7.0,5427.0,258.0,366.0,701.0,373.0,301.0,783.0,312.0,76.0,988.0,485.0,269.0,9.0,66.0,99.0,64.0,0.0,95.0,402.0
